Lbc_km,Y0,ed,N,mu,nu,omega,p_mu,p_nu,p_omega,key_rate
20,1.329256670936078e-08,0.007457908185133639,84655714687469,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014205980837363321
20,7.389117300011901e-08,0.01092187974482436,1562921574831,0.8,0.2,0.02,0.85,0.0075,0.1425,0.013373255026151273
20,7.589636992640774e-08,0.012170970037265316,90954530111,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01308810978283934
20,1.3956261133311966e-08,0.007693802735623334,1236519378124,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014146987930432427
20,1.6315059136033544e-08,0.011047537196676402,206102300827,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013344249534855739
20,1.7545462749253616e-07,0.006491005073580516,43115181392491,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014451952314797846
20,2.6424936564206476e-07,0.017612724989415074,80337410778188,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011916383128859762
20,1.0738775936796618e-07,0.012186297787279792,6286098249473,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01308465240854893
20,1.903732703866992e-07,0.00952854674329034,8689683624627,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013700126178085243
20,4.82169055198041e-06,0.01879533266647415,3213425141434,0.8,0.2,0.02,0.85,0.0075,0.1425,0.01167423141589493
20,1.33879486823729e-07,0.01961840782219541,3593470384681,0.8,0.2,0.02,0.85,0.0075,0.1425,0.011508406035854462
20,1.5758106519285736e-08,0.006270043536801667,9987994329860,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01450917419001321
20,1.5256976230919046e-08,0.005117765079968777,376038063167,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014814428041519584
20,3.605879305495994e-07,0.011728164283948319,900482376757,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013188386080362893
20,5.684157537552052e-07,0.015189538510581874,492212109423,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012425355845245949
20,1.273486569074915e-07,0.01982688587148934,110577340828,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01146663408483671
20,2.144373657590197e-06,0.011468315369480661,271694926093,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013247578144088086
20,1.554439583052231e-08,0.017953684164530637,6427122817736,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01184623267661694
20,5.117196835239987e-06,0.011774176890303016,5101335271076,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013177760729785814
20,2.2736879475204947e-08,0.0109693040240347,67441604445,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013362300280341136
20,1.3375323156962972e-08,0.019219420268844798,73042810243,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01158868074292816
20,2.748295770003627e-08,0.007969550653369134,325183017895,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014078501348928175
20,4.356861826548132e-07,0.007270015527093366,90107212729512,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01425323485750692
20,8.891348473566165e-06,0.007226030256290448,420365952046,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014264139525203345
20,1.09594421696482e-06,0.018164848743516426,958569705837,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011802896334227209
20,5.638194041590531e-06,0.009836904723219592,985742691851,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013626763538472787
20,3.132851256015568e-07,0.015051022269729413,64263627292,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012455042346609631
20,6.75012524873629e-07,0.008281596453082336,229552094740,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014001577446203207
20,7.721459356058902e-06,0.018485120570465113,18727229108577,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01173716258173364
20,1.2776290724914243e-08,0.007225503236928946,106543668990,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014264478161006601
20,2.2516438850440745e-06,0.017634999906160506,2146805607412,0.8,0.2,0.02,0.85,0.0075,0.1425,0.01191169366164961
20,1.4269046568713602e-06,0.017105830699626137,18426231541,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012021276492157196
20,1.7944419375279932e-08,0.018033429710065677,14376835961,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011829871610114076
20,4.734476454168257e-08,0.005609480399688514,11511729070,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014682684235794493
20,3.40301651754388e-06,0.009958915508751203,43929902669,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013598004805088286
20,2.7954933975234447e-08,0.014841254926555053,74884698705694,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012500121308499406
20,3.2733999980279037e-07,0.018516357153260072,1022620267432,0.8,0.2,0.02,0.85,0.0075,0.1425,0.011731167379714474
20,5.267656321516295e-07,0.015178570351840386,16612689812793,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012427705028386152
20,1.877323630450919e-06,0.019857988440583434,9724371830663,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011460319767868451
20,5.2160550954832376e-06,0.00809157248098375,1385687238400,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014048221898949283
20,6.249464292838686e-07,0.017385449257405306,848895540799,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011963325854298565
20,2.3611340005376192e-06,0.010828533352251712,2215918699175,0.8,0.2,0.02,0.85,0.0075,0.1425,0.013394778144776066
20,3.580550657127557e-06,0.016970892066562375,4245591523591,0.8,0.2,0.02,0.85,0.0075,0.1425,0.01204924569037601
